Marking,"CAT","STIG Id","Group Id","Group Title","Rule Id","Rule Title","Check","Fix","Discussion","CCIs"
(CUI),"CAT 1","CNTR-K8-000330","V-242387","SRG-APP-000033-CTR-000095","SV-242387r1137639_rule","The Kubernetes Kubelet must have the ""readOnlyPort"" flag disabled.","On each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

If the ""--read-only-port"" option exists, this is a finding. 

Note the path to the config file (identified by --config).

Run the command:
grep -i readOnlyPort <path_to_config_file>

If the setting ""readOnlyPort"" exists and is not set to ""0"", this is a finding.","On each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

Remove the ""--read-only-port"" option if present.

Note the path to the config file (identified by --config).

Edit the config file: 
Set ""readOnlyPort"" to ""0"" or remove the setting.

Restart the kubelet service using the following command:
systemctl daemon-reload && systemctl restart kubelet","Kubelet serves a small REST API with read access to port 10255. The read-only port for Kubernetes provides no authentication or authorization security control. Providing unrestricted access on port 10255 exposes Kubernetes pods and containers to malicious attacks or compromise. Port 10255 is deprecated and should be disabled.","000213"
(CUI),"CAT 2","CNTR-K8-000350","V-242389","SRG-APP-000033-CTR-000100","SV-242389r1137640_rule","The Kubernetes API server must have the secure port set.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i secure-port * 

If the setting ""--secure-port"" is set to ""0"" or is not configured in the Kubernetes API manifest file, this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of ""--secure-port"" to a value greater than ""0"".","By default, the API server will listen on what is rightfully called the secure port, port 6443. Any requests to this port will perform authentication and authorization checks. If this port is disabled, anyone who gains access to the host on which the Control Plane is running has full control of the entire cluster over encrypted traffic.

Open the secure port by setting the API server's ""--secure-port"" flag to a value other than ""0"".","000213"
(CUI),"CAT 1","CNTR-K8-000360","V-242390","SRG-APP-000033-CTR-000100","SV-242390r1137640_rule","The Kubernetes API server must have anonymous authentication disabled.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i anonymous-auth * 

If the setting ""--anonymous-auth"" is set to ""true"" in the Kubernetes API Server manifest file, this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of  ""--anonymous-auth"" to ""false"".","The Kubernetes API Server controls Kubernetes via an API interface. A user who has access to the API essentially has root access to the entire Kubernetes cluster. To control access, users must be authenticated and authorized. By allowing anonymous connections, the controls put in place to secure the API can be bypassed.

Setting ""--anonymous-auth"" to ""false"" also disables unauthenticated requests from kubelets.

While there are instances where anonymous connections may be needed (e.g., health checks) and Role-Based Access Controls (RBACs) are in place to limit the anonymous access, this access should be disabled, and only enabled when necessary.","000213"
(CUI),"CAT 1","CNTR-K8-000370","V-242391","SRG-APP-000033-CTR-000090","SV-242391r1137638_rule","The Kubernetes Kubelet must have anonymous authentication disabled.","On each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

If the ""--anonymous-auth"" option exists, this is a finding. 

Note the path to the config file (identified by --config).

Inspect the content of the config file:
Locate the ""anonymous"" section under ""authentication"".  In this section, if the field ""enabled"" does not exist or is set to ""true"", this is a finding.","On each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

Remove the ""anonymous-auth"" option if present.

Note the path to the config file (identified by --config).

Edit the config file: 
Locate the ""authentication"" section and the ""anonymous"" subsection. Within the ""anonymous"" subsection, set ""enabled"" to ""false"".

Restart the kubelet service using the following command:
systemctl daemon-reload && systemctl restart kubelet","A user who has access to the Kubelet essentially has root access to the nodes contained within the Kubernetes Control Plane. To control access, users must be authenticated and authorized. By allowing anonymous connections, the controls put in place to secure the Kubelet can be bypassed.

Setting anonymous authentication to ""false"" also disables unauthenticated requests from kubelets.

While there are instances where anonymous connections may be needed (e.g., health checks) and Role-Based Access Controls (RBAC) are in place to limit the anonymous access, this access must be disabled and only enabled when necessary.","000213"
(CUI),"CAT 1","CNTR-K8-000380","V-242392","SRG-APP-000033-CTR-000095","SV-242392r1137639_rule","The Kubernetes kubelet must enable explicit authorization.","Run the following command on each Worker Node:
ps -ef | grep kubelet
Verify that the --authorization-mode exists and is set to ""Webhook"".

If the --authorization-mode argument is not set to ""Webhook"" or doesn't exist, this is a finding.","Edit the Kubernetes Kubelet service file in the --config directory on the Kubernetes Worker Node:

Set the value of ""--authorization-mode"" to ""Webhook"" in KUBELET_SYSTEM_PODS_ARGS variable.

Restart the kubelet service using the following command:

systemctl daemon-reload && systemctl restart kubelet","Kubelet is the primary agent on each node. The API server communicates with each kubelet to perform tasks such as starting/stopping pods. By default, kubelets allow all authenticated requests, even anonymous ones, without requiring any authorization checks from the API server. This default behavior bypasses any authorization controls put in place to limit what users may perform within the Kubernetes cluster. To change this behavior, the default setting of AlwaysAllow for the authorization mode must be set to ""Webhook"".","000213"
(CUI),"CAT 2","CNTR-K8-000400","V-242393","SRG-APP-000033-CTR-000095","SV-242393r1137639_rule","Kubernetes Worker Nodes must not have sshd service running.","Log in to each worker node. Verify that the sshd service is not running. To validate that the service is not running, run the command:

systemctl status sshd

If the service sshd is active (running), this is a finding.

Note: If console access is not available, SSH access can be attempted. If the worker nodes cannot be reached, this requirement is ""not a finding"".","To stop the sshd service, run the command:

systemctl stop sshd

Note: If access to the worker node is through an SSH session, it is important to realize there are two requirements for disabling and stopping the sshd service and they should be done during the same SSH session. Disabling the service must be performed first and then the service stopped to guarantee both settings can be made if the session is interrupted.","Worker Nodes are maintained and monitored by the Control Plane. Direct access and manipulation of the nodes should not take place by administrators. Worker nodes should be treated as immutable and updated via replacement rather than in-place upgrades.","000213"
(CUI),"CAT 2","CNTR-K8-000410","V-242394","SRG-APP-000033-CTR-000095","SV-242394r1137639_rule","Kubernetes Worker Nodes must not have the sshd service enabled.","Log in to each worker node. Verify that the sshd service is not enabled. To validate the service is not enabled, run the command:

systemctl is-enabled sshd.service

If the service sshd is enabled, this is a finding.

Note: If console access is not available, SSH access can be attempted. If the worker nodes cannot be reached, this requirement is ""not a finding"".","To disable the sshd service, run the command:

chkconfig sshd off

Note: If access to the worker node is through an SSH session, it is important to realize there are two requirements for disabling and stopping the sshd service that must be done during the same SSH session. Disabling the service must be performed first and then the service stopped to guarantee both settings can be made if the session is interrupted.","Worker Nodes are maintained and monitored by the Control Plane. Direct access and manipulation of the nodes must not take place by administrators. Worker nodes must be treated as immutable and updated via replacement rather than in-place upgrades.","000213"
(CUI),"CAT 2","CNTR-K8-000420","V-242395","SRG-APP-000033-CTR-000095","SV-242395r1137639_rule","Kubernetes dashboard must not be enabled.","From the Control Plane, run the command:

kubectl get pods --all-namespaces -l k8s-app=kubernetes-dashboard

If any resources are returned, this is a finding.","Delete the Kubernetes dashboard deployment with the following command:

kubectl delete deployment kubernetes-dashboard --namespace=kube-system","While the Kubernetes dashboard is not inherently insecure on its own, it is often coupled with a misconfiguration of Role-Based Access control (RBAC) permissions that can unintentionally over-grant access. It is not commonly protected with ""NetworkPolicies"", preventing all pods from being able to reach it. In increasingly rare circumstances, the Kubernetes dashboard is exposed publicly to the internet.","000213"
(CUI),"CAT 2","CNTR-K8-000430","V-242396","SRG-APP-000033-CTR-000090","SV-242396r1137638_rule","Kubernetes Kubectl cp command must give expected access and results.","From the Control Plane and each Worker node, check the version of kubectl by executing the command:

kubectl version --client

If the Control Plane or any Worker nodes are not using kubectl version 1.12.9 or newer, this is a finding.","Upgrade the Control Plane and Worker nodes to the latest version of kubectl.","One of the tools heavily used to interact with containers in the Kubernetes cluster is kubectl. The command is the tool System Administrators used to create, modify, and delete resources. One of the capabilities of the tool is to copy files to and from running containers (i.e., kubectl cp). The command uses the ""tar"" command of the container to copy files from the container to the host executing the ""kubectl cp"" command. If the ""tar"" command on the container has been replaced by a malicious user, the command can copy files anywhere on the host machine. This flaw has been fixed in later versions of the tool. It is recommended to use kubectl versions newer than 1.12.9.","000213"
(CUI),"CAT 1","CNTR-K8-000440","V-242397","SRG-APP-000033-CTR-000090","SV-242397r1137638_rule","The Kubernetes kubelet staticPodPath must not enable static pods.","If staticPodPath is missing in the Kubelet config and in the systemd arguments, the node does not support static pods.

1. To find the staticPodPath setting on Kubernetes worker nodes, follow these steps:

 a. On the Worker nodes, run the command:
     ps -ef | grep kubelet

b. Note the path to the Kubelet configuration file (identified by --config).
    (ls /var/lib/kubelet/config.yaml is the common location.)

c. Run the command:
    grep -i staticPodPath <path_to_config_file>

If any of the Worker nodes return a value for ""staticPodPath"", this is a finding.

If staticPodPath is not in the config file, check if it is set as a command-line argument.

2. Check Kubelet Systemd Service Arguments.

a. Run the following command to check the Kubelet service:
    sudo systemctl cat kubelet | grep pod-manifest-path

If there is no output, staticPodPath is not set in systemd arguments.

If there is any return, this is a finding.

(Example Return:ExecStart=/usr/bin/kubelet --pod-manifest-path=/etc/kubernetes/manifests
This means static pods are defined in /etc/kubernetes/manifests.)","1. Remove staticPodPath setting on Kubernetes worker nodes:

a. On each Worker node, run the command:
    ps -ef | grep kubelet

b. Note the path to the config file (identified by --config).

c. Edit the Kubernetes kubelet file in the --config directory on the Worker nodes. Remove the setting ""staticPodPath"".

d. Restart the kubelet service using the following command:
    systemctl daemon-reload && systemctl restart kubelet

2. Remove Kubelet Systemd Service Arguments:

a. Modify the systemd Service File. Run the command:
    sudo systemctl edit --full kubelet

(Example Return:ExecStart=/usr/bin/kubelet --pod-manifest-path=/etc/kubernetes/manifests)

b. Find and remove --pod-manifest-path.

c. Save and exit the editor.

d. Restart the kubelet service using the following command:
    systemctl daemon-reload && systemctl restart kubelet","Allowing kubelet to set a staticPodPath gives containers with root access permissions to traverse the hosting filesystem. The danger comes when the container can create a manifest file within the /etc/kubernetes/manifests directory. When a manifest is created within this directory, containers are entirely governed by the Kubelet not the API Server. The container is not susceptible to admission control at all. Any containers or pods instantiated in this manner are called ""static pods"" and are meant to be used for pods such as the API server, scheduler, controller, etc., not workload pods that need to be governed by the API Server.","000213"
(CUI),"CAT 2","CNTR-K8-000450","V-242398","SRG-APP-000033-CTR-000100","SV-242398r1137640_rule","Kubernetes DynamicAuditing must not be enabled.","On the Control Plane, change to the manifests' directory at /etc/kubernetes/manifests and run the command:
grep -i feature-gates *

Review the feature-gates setting, if one is returned.

If the feature-gates setting is available and contains the DynamicAuditing flag set to ""true"", this is a finding.

On each Control Plane and Worker node, run the command:
ps -ef | grep kubelet

If the ""--feature-gates"" option exists, this is a finding. 

Note the path to the config file (identified by: --config).

Inspect the content of the config file:
If the ""featureGates"" setting is present and has the ""DynamicAuditing"" flag set to ""true"", this is a finding.","On the Control Plane, change to the manifests' directory at /etc/kubernetes/manifests and run the command:
grep -i feature-gates *

If any ""--feature-gates"" setting is available and contains the ""DynamicAuditing"" flag, remove the flag or set it to false.

On the each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

Remove the ""--feature-gates option"" if present.

Note the path to the config file (identified by: --config).

Edit the Kubernetes Kubelet config file: 
If the ""featureGates"" setting is present, remove the ""DynamicAuditing"" flag or set the flag to false.

Restart the kubelet service using the following command:
service kubelet restart","Protecting the audit data from change or deletion is important when an attack occurs. One way an attacker can cover their tracks is to change or delete audit records. This will either make the attack unnoticeable or make it more difficult to investigate how the attack took place and what changes were made. The audit data can be protected through audit log file protections and user authorization.

One way for an attacker to thwart these measures is to send the audit logs to another source and filter the audited results before sending them on to the original target. This can be done in Kubernetes through the configuration of dynamic audit webhooks through the DynamicAuditing flag.","000213"
(CUI),"CAT 2","CNTR-K8-000460","V-242399","SRG-APP-000033-CTR-000095","SV-242399r1137639_rule","Kubernetes DynamicKubeletConfig must not be enabled.","This check is only applicable for Kubernetes versions 1.25 and older.  

On the Control Plane, change to the manifests' directory at /etc/kubernetes/manifests and run the command:
grep -i feature-gates *

In each manifest file, if the feature-gates does not exist, or does not contain the ""DynamicKubeletConfig"" flag, or sets the flag to ""true"", this is a finding.

On each Control Plane and Worker node, run the command:
ps -ef | grep kubelet

Verify the ""feature-gates"" option is not present.

Note the path to the config file (identified by --config).

Inspect the content of the config file:
If the ""featureGates"" setting is not present, or does not contain the ""DynamicKubeletConfig"", or sets the flag to ""true"", this is a finding.","This fix is only applicable to Kubernetes version 1.25 and older.

On the Control Plane, change to the manifests' directory at /etc/kubernetes/manifests and run the command:
grep -i feature-gates *

Edit the manifest files so that every manifest has a ""--feature-gates"" setting with ""DynamicKubeletConfig=false"".

On each Control Plane and Worker Node, run the command:
ps -ef | grep kubelet

Remove the ""feature-gates"" option if present.

Note the path to the config file (identified by --config).

Edit the config file: 
Add a ""featureGates"" setting if one does not yet exist. Add the feature gate ""DynamicKubeletConfig=false"".

Restart the kubelet service using the following command:
systemctl daemon-reload && systemctl restart kubelet","Kubernetes allows a user to configure kubelets with dynamic configurations. When dynamic configuration is used, the kubelet will watch for changes to the configuration file. When changes are made, the kubelet will automatically restart. Allowing this capability bypasses access restrictions and authorizations. Using this capability, an attacker can lower the security posture of the kubelet, which includes allowing the ability to run arbitrary commands in any container running on that node.","000213"
(CUI),"CAT 2","CNTR-K8-000470","V-242400","SRG-APP-000033-CTR-000090","SV-242400r1137638_rule","The Kubernetes API server must have Alpha APIs disabled.","On the Control Plane, change to the manifests' directory at /etc/kubernetes/manifests and run the command:
grep -i feature-gates *

Review the ""--feature-gates"" setting, if one is returned.

If the ""--feature-gate""s setting is available and contains the ""AllAlpha"" flag set to ""true"", this is a finding.","Edit any manifest file that contains the ""--feature-gates"" setting with ""AllAlpha"" set to ""true"".

Set the value of ""AllAlpha"" to ""false"" or remove the setting completely. (AllAlpha - default=false)","Kubernetes allows alpha API calls within the API server. The alpha features are disabled by default since they are not ready for production and likely to change without notice. These features may also contain security issues that are rectified as the feature matures. To keep the Kubernetes cluster secure and stable, these alpha features must not be used.","000213"
(CUI),"CAT 2","CNTR-K8-000610","V-242402","SRG-APP-000092-CTR-000165","SV-242402r960888_rule","The Kubernetes API Server must have an audit log path set.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:
grep -i audit-log-path * 

If the ""--audit-log-path"" is not set, this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of ""--audit-log-path"" to a secure location for the audit logs to be written.

Note: If the API server is running as a Pod, then the manifest will also need to be updated to mount the host system filesystem where the audit log file is to be written.","When Kubernetes is started, components and user services are started for auditing startup events, and events for components and services, it is important that auditing begin on startup. Within Kubernetes, audit data for all components is generated by the API server. To enable auditing to begin, an audit policy must be defined for the events and the information to be stored with each event. It is also necessary to give a secure location where the audit logs are to be stored. If an audit log path is not specified, all audit data is sent to studio.","001464"
(CUI),"CAT 2","CNTR-K8-000700","V-242403","SRG-APP-000026-CTR-000070","SV-242403r986135_rule","Kubernetes API Server must generate audit records that identify what type of event has occurred, identify the source of the event, contain the event results, identify any users, and identify any containers associated with the event.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:
grep -i audit-policy-file 

If the audit-policy-file is not set, this is a finding. 

The file given is the policy file and defines what is audited and what information is included with each event.

The policy file must look like this:

# Log all requests at the RequestResponse level.
apiVersion: audit.k8s.io/vX (Where X is the latest apiVersion)
kind: Policy
rules:
- level: RequestResponse

If the audit policy file does not look like above, this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of  ""--audit-policy-file"" to the path of a file with the following content:
    
    # Log all requests at the RequestResponse level.
    apiVersion: audit.k8s.io/vX (Where X is the latest apiVersion)
    kind: Policy
    rules:
    - level: RequestResponse

Note: If the API server is running as a Pod, then the manifest will also need to be updated to mount the host system filesystem where the audit policy file resides.","Within Kubernetes, audit data for all components is generated by the API server. This audit data is important when there are issues, to include security incidents that must be investigated. To make the audit data worthwhile for the investigation of events, it is necessary to have the appropriate and required data logged. To fully understand the event, it is important to identify any users associated with the event. 

The API server policy file allows for the following levels of auditing:
      None - Do not log events that match the rule.
      Metadata - Log request metadata (requesting user, timestamp, resource, verb, etc.) but not request or response body.
      Request - Log event metadata and request body but not response body.
      RequestResponse - Log event metadata, request, and response bodies.

Satisfies: SRGID:SRG-APP-000092-CTR-000165, SRG-APP-000026-CTR-000070, SRG-APP-000027-CTR-000075, SRG-APP-000028-CTR-000080, SRG-APP-000101-CTR-000205, SRG-APP-000100-CTR-000200, SRG-APP-000100-CTR-000195, SRG-APP-000099-CTR-000190, SRG-APP-000098-CTR-000185, SRG-APP-000095-CTR-000170, SRG-APP-000096-CTR-000175, SRG-APP-000097-CTR-000180, SRG-APP-000507-CTR-001295, SRG-APP-000504-CTR-001280, SRG-APP-000503-CTR-001275, SRG-APP-000501-CTR-001265, SRG-APP-000500-CTR-001260, SRG-APP-000497-CTR-001245, SRG-APP-000496-CTR-001240, SRG-APP-000493-CTR-001225, SRG-APP-000492-CTR-001220, SRG-APP-000343-CTR-000780, SRG-APP-000381-CTR-000905","000018
000130
000131
000132
000133
000134
000135
000172
001403
001404
001487
002264"
(CUI),"CAT 2","CNTR-K8-000850","V-242404","SRG-APP-000133-CTR-000290","SV-242404r960960_rule","Kubernetes Kubelet must deny hostname override.","On the Control Plane and Worker nodes, run the command:
ps -ef | grep kubelet

If the option ""--hostname-override"" is present, this is a finding.","Run the command:  
systemctl status kubelet.  
Note the path to the drop-in file.

Determine the path to the environment file(s) with the command: 
grep -i EnvironmentFile <path_to_drop_in_file>.

Remove the ""--hostname-override"" option from any environment file where it is present.  

Restart the kubelet service using the following command:
systemctl daemon-reload && systemctl restart kubelet","Kubernetes allows for the overriding of hostnames. Allowing this feature to be implemented within the kubelets may break the TLS setup between the kubelet service and the API server. This setting also can make it difficult to associate logs with nodes if security analytics needs to take place. The better practice is to setup nodes with resolvable FQDNs and avoid overriding the hostnames.","001499"
